3x3模式可翻转性分数表
============================================================
索引	二进制模式		分数
254	011 111 110		0.422
255	111 111 110		0.286
256	000 000 001		0.286
257	100 000 001		0.422
258	010 000 001		0.387
259	110 000 001		0.487
260	001 000 001		0.411
261	101 000 001		0.504
262	011 000 001		0.482
263	111 000 001		0.498
264	000 100 001		0.387
265	100 100 001		0.487
266	010 100 001		0.470
267	110 100 001		0.527
268	001 100 001		0.478
269	101 100 001		0.503
270	011 100 001		0.518
271	111 100 001		0.482
272	000 010 001		0.423
273	100 010 001		0.432
274	010 010 001		0.426
275	110 010 001		0.488
276	001 010 001		0.425
277	101 010 001		0.492
278	011 010 001		0.483
279	111 010 001		0.484
280	000 110 001		0.426
281	100 110 001		0.488
282	010 110 001		0.488
283	110 110 001		0.527
284	001 110 001		0.479
285	101 110 001		0.490
286	011 110 001		0.518
287	111 110 001		0.462
288	000 001 001		0.459
289	100 001 001		0.487
290	010 001 001		0.462
291	110 001 001		0.527
292	001 001 001		0.583
293	101 001 001		0.498
294	011 001 001		0.641
295	111 001 001		0.594
296	000 101 001		0.433
297	100 101 001		0.498
298	010 101 001		0.490
299	110 101 001		0.488
300	001 101 001		0.495
301	101 101 001		0.457
302	011 101 001		0.483
303	111 101 001		0.521
304	000 011 001		0.521
305	100 011 001		0.488
306	010 011 001		0.482
307	110 011 001		0.527
308	001 011 001		0.587
309	101 011 001		0.484
310	011 011 001		0.641
311	111 011 001		0.564
312	000 111 001		0.457
313	100 111 001		0.498
314	010 111 001		0.503
315	110 111 001		0.487
316	001 111 001		0.495
317	101 111 001		0.433
318	011 111 001		0.482
319	111 111 001		0.459
320	000 000 101		0.411
321	100 000 101		0.504
322	010 000 101		0.478
323	110 000 101		0.503
324	001 000 101		0.504
325	101 000 101		0.479
326	011 000 101		0.503
327	111 000 101		0.458
328	000 100 101		0.482
329	100 100 101		0.498
330	010 100 101		0.518
331	110 100 101		0.482
332	001 100 101		0.503
333	101 100 101		0.458
334	011 100 101		0.488
335	111 100 101		0.420
336	000 010 101		0.425
337	100 010 101		0.492
338	010 010 101		0.479
339	110 010 101		0.490
340	001 010 101		0.492
341	101 010 101		0.446
342	011 010 101		0.490
343	111 010 101		0.409
344	000 110 101		0.483
345	100 110 101		0.484
346	010 110 101		0.518
347	110 110 101		0.462
348	001 110 101		0.490
349	101 110 101		0.409
350	011 110 101		0.470
351	111 110 101		0.337
352	000 001 101		0.482
353	100 001 101		0.503
354	010 001 101		0.518
355	110 001 101		0.488
356	001 001 101		0.498
357	101 001 101		0.458
358	011 001 101		0.482
359	111 001 101		0.420
360	000 101 101		0.495
361	100 101 101		0.457
362	010 101 101		0.479
363	110 101 101		0.426
364	001 101 101		0.457
365	101 101 101		0.382
366	011 101 101		0.426
367	111 101 101		0.402
368	000 011 101		0.483
369	100 011 101		0.490
370	010 011 101		0.518
371	110 011 101		0.470
372	001 011 101		0.484
373	101 011 101		0.409
374	011 011 101		0.462
375	111 011 101		0.337
376	000 111 101		0.495
377	100 111 101		0.433
378	010 111 101		0.478
379	110 111 101		0.387
380	001 111 101		0.433
381	101 111 101		0.268
382	011 111 101		0.387
383	111 111 101		0.097
384	000 000 011		0.459
385	100 000 011		0.487
386	010 000 011		0.433
387	110 000 011		0.498
388	001 000 011		0.482
389	101 000 011		0.503
390	011 000 011		0.495
391	111 000 011		0.457
392	000 100 011		0.462
393	100 100 011		0.527
394	010 100 011		0.490
395	110 100 011		0.488
396	001 100 011		0.518
397	101 100 011		0.488
398	011 100 011		0.479
399	111 100 011		0.426
400	000 010 011		0.521
401	100 010 011		0.488
402	010 010 011		0.457
403	110 010 011		0.498
404	001 010 011		0.483
405	101 010 011		0.490
406	011 010 011		0.495
407	111 010 011		0.433
408	000 110 011		0.482
409	100 110 011		0.527
410	010 110 011		0.503
411	110 110 011		0.487
412	001 110 011		0.518
413	101 110 011		0.470
414	011 110 011		0.478
415	111 110 011		0.387
416	000 001 011		0.564
417	100 001 011		0.527
418	010 001 011		0.484
419	110 001 011		0.488
420	001 001 011		0.641
421	101 001 011		0.482
422	011 001 011		0.587
423	111 001 011		0.521
424	000 101 011		0.484
425	100 101 011		0.488
426	010 101 011		0.492
427	110 101 011		0.432
428	001 101 011		0.483
429	101 101 011		0.426
430	011 101 011		0.425
431	111 101 011		0.423
432	000 011 011		0.594
433	100 011 011		0.527
434	010 011 011		0.498
435	110 011 011		0.487
436	001 011 011		0.641
437	101 011 011		0.462
438	011 011 011		0.583
439	111 011 011		0.459
440	000 111 011		0.498
441	100 111 011		0.487
442	010 111 011		0.504
443	110 111 011		0.422
444	001 111 011		0.482
445	101 111 011		0.387
446	011 111 011		0.411
447	111 111 011		0.286
448	000 000 111		0.583
449	100 000 111		0.498
450	010 000 111		0.495
451	110 000 111		0.457
452	001 000 111		0.498
453	101 000 111		0.458
454	011 000 111		0.457
455	111 000 111		0.382
456	000 100 111		0.641
457	100 100 111		0.594
458	010 100 111		0.483
459	110 100 111		0.521
460	001 100 111		0.482
461	101 100 111		0.420
462	011 100 111		0.426
463	111 100 111		0.402
464	000 010 111		0.587
465	100 010 111		0.484
466	010 010 111		0.495
467	110 010 111		0.433
468	001 010 111		0.484
469	101 010 111		0.409
470	011 010 111		0.433
471	111 010 111		0.268
472	000 110 111		0.641
473	100 110 111		0.564
474	010 110 111		0.482
475	110 110 111		0.459
476	001 110 111		0.462
477	101 110 111		0.337
478	011 110 111		0.387
479	111 110 111		0.097
480	000 001 111		0.641
481	100 001 111		0.482
482	010 001 111		0.483
483	110 001 111		0.426
484	001 001 111		0.594
485	101 001 111		0.420
486	011 001 111		0.521
487	111 001 111		0.402
488	000 101 111		0.587
489	100 101 111		0.521
490	010 101 111		0.425
491	110 101 111		0.423
492	001 101 111		0.521
493	101 101 111		0.402
494	011 101 111		0.423
495	111 101 111		0.000
496	000 011 111		0.641
497	100 011 111		0.462
498	010 011 111		0.482
499	110 011 111		0.387
500	001 011 111		0.564
501	101 011 111		0.337
502	011 011 111		0.459
503	111 011 111		0.097
504	000 111 111		0.583
505	100 111 111		0.459
506	010 111 111		0.411
507	110 111 111		0.286
508	001 111 111		0.459
509	101 111 111		0.097
510	011 111 111		0.286
511	111 111 111		0.000
